,Gyny,ColonyStructure,ColonyFoundation,ColonyDensity,Workers,WorkerPolymorphism,MinBodySize,MaxBodySize,SterileWorkers,Sting,Diet,Aggressitivity,ForagingBehaviour,ActivityRange,HasSymbioses,Parasitic,SlaveMaking,NestRaids,Habitat,NestingType,DisturbanceSpecialist,InvasivenessStatus,Ecozone
Camponotus_sericeus,NA,NA,NA,NA,NA,Yes,1.79175946922805,2.56494935746154,NA,NA,Om,NA,NA,NA,NA,NA,NA,NA,Ge,TAL,NA,Native,Af
Azteca_oecocordia,Oligogynous,Polydomous,Facultative,NA,NA,Yes,NA,NA,Yes,No,Om,Aggressive,Ge,Day,Yes,No,No,No,NA,TC,NA,Native,Neo
Pyramica_vodensa,NA,NA,NA,NA,NA,NA,1.38629436111989,1.38629436111989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Crematogaster_lotti,NA,NA,NA,NA,NA,NA,1.45861502269952,1.54756250871601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Strumigenys_xenos,NA,Monodomous,NA,Rare,NA,No,1.22377543162212,1.22377543162212,NA,NA,Pr,NA,NA,NA,NA,Yes,NA,NA,NA,NA,No,Exotic,Au
Brachymyrmex_minutus,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Ge,NA,NA,Exotic,Neo
Camponotus_foraminosus,NA,NA,NA,NA,NA,Yes,1.79175946922805,2.17475172148416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AA,NA,NA,Native,Af
Prolasius_advenus,Polygynous,NA,NA,Medium,6.21660610108486,NA,1.3609765531356,1.50407739677627,No,No,Om,Unresponsive,NA,DayAndNight,Yes,NA,NA,NA,Ge,Ub,NA,Native,Au
Lasius_speculiventris,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,Yes,NA,NA,TF,Un,NA,Native,Ne
Aenictus_decolor,NA,NA,NA,NA,NA,No,1.45861502269952,1.45861502269952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ge,NA,NA,Native,Af
Formica_podzolica,Oligogynous,NA,Independent,NA,10.8685874960174,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,NA,NA,Ge,NA,NA,Native,Ne
Rogeria_tonduzi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ho,NA,NA,NA,NA,NA,NA,NA,RF,TC,NA,Native,Neo
Dorylus_erraticus,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Camponotus_constructor,NA,NA,NA,Rare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Tapinoma_longiceps,NA,NA,NA,NA,NA,NA,1.25276296849537,1.38629436111989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
Tapinoma_luteum,NA,NA,NA,NA,NA,NA,1.09861228866811,1.09861228866811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ge,NA,NA,Native,Af
Acropyga_nipponensis,NA,NA,NA,NA,NA,No,1.09861228866811,1.09861228866811,NA,NA,Ho,NA,NA,NA,Yes,No,No,No,TF,Ub,No,Native,In
Formica_querquetulana,NA,NA,NA,NA,NA,Yes,NA,NA,NA,No,NA,NA,HT,NA,NA,Yes,NA,NA,Ge,NA,NA,Native,Ne
Crematogaster_brasiliensis,Monogynous,Polydomous,Independent,NA,NA,No,NA,NA,NA,Yes,Om,NA,NA,DayAndNight,Yes,No,No,No,RF,Ub,No,Native,Neo
Cardiocondyla_elegans,NA,Monodomous,Dependent,NA,5.52545293913178,No,1.09861228866811,1.38629436111989,NA,NA,Om,NA,NA,NA,NA,NA,NA,NA,RZ,Un,NA,Native,Pa
Camponotus_simus,NA,NA,NA,NA,NA,Yes,2.01490302054226,2.01490302054226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Tetramorium_lanuginosum,NA,NA,NA,NA,NA,No,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Ge,Ub,NA,Exotic,Co
Polyrhachis_revoili,NA,NA,NA,NA,NA,No,1.96009478404727,2.01490302054226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
Camponotus_moderatus,NA,NA,NA,NA,NA,Yes,1.68639895357023,1.68639895357023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Formica_candida,Monogynous,NA,NA,NA,6.90875477931522,NA,1.6094379124341,1.94591014905531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,De,Gr,NA,Native,Pa
Pheidole_dentata,Oligogynous,NA,NA,Abundant,7.9728107841214,Yes,NA,NA,Yes,Yes,Om,NA,NA,NA,No,No,No,No,Ge,Ub,Yes,Native,Ne
Polyrhachis_transiens,NA,NA,NA,NA,NA,No,2.10413415427021,2.10413415427021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AA,TC,NA,Native,Af
Lasius_murphyi,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,Yes,NA,NA,TF,NA,NA,Native,Ne
Myrmecocystus_placodops,NA,NA,NA,NA,NA,NA,2.06051353179432,2.06051353179432,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,De,TC,NA,Native,Co
Myrmicocrypta_infuscata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,NA
Proceratium_croceum,Monogynous,NA,Independent,NA,3.43398720448515,No,1.56861591791385,1.58923520511658,NA,Yes,NA,NA,NA,NA,No,No,No,No,TF,TAL,No,Native,Ne
Pyramica_fulda,NA,NA,NA,NA,NA,NA,1.09861228866811,1.09861228866811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
Tapinoma_mkomaziae,NA,NA,NA,NA,NA,NA,0.916290731874155,0.916290731874155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Anochetus_myops,NA,NA,NA,NA,NA,NA,1.70474809223843,1.70474809223843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,In
Brachymyrmex_pictus_balboae,Polygynous,Polydomous,Facultative,NA,NA,No,NA,NA,NA,No,Om,Evasive,MR,NA,No,Yes,No,No,Ge,Ub,No,Native,Neo
Anochetus_orchidicola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pr,NA,NA,NA,NA,NA,NA,NA,RF,TC,NA,Native,Neo
Anochetus_paripungens,NA,NA,NA,NA,NA,NA,1.79175946922805,1.82454929205105,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,TDF,NA,NA,Native,Au
Pheidole_mantilla,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Night,NA,NA,NA,NA,TDF,NA,NA,Native,Neo
Pyramica_bauderi,Polygynous,NA,NA,NA,NA,No,1.09861228866811,1.09861228866811,NA,Yes,Pr,NA,NA,NA,NA,NA,NA,NA,TF,Un,No,Native,Pa
Pheidole_ectatommoides,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Night,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Paratrechina_flavipes,Monogynous,Polydomous,Independent,Abundant,6.79234442747081,No,1.09861228866811,1.25276296849537,NA,No,Om,NA,NA,NA,Yes,No,No,No,Ge,Ub,Yes,Native,Co
Crematogaster_charon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Paraparatrechina_minima,NA,NA,NA,NA,NA,NA,0.832909122935104,0.832909122935104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ub,NA,Native,Af
Eurhopalothrix_floridana,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,Pr,NA,NA,NA,NA,NA,NA,NA,Ge,NA,NA,Exotic,Ne
Monomorium_ruzskyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ge,NA,NA,Native,Pa
Camponotus_brevis,Monogynous,Monodomous,Independent,NA,NA,Yes,NA,NA,No,No,Om,NA,SF,Day,NA,NA,No,No,Ge,Ub,Yes,Native,Neo
Dorylus_termitarius,NA,NA,NA,NA,NA,Yes,2.02814824729229,2.02814824729229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Temnothorax_curvispinosus,Oligogynous,NA,Independent,NA,4.35670882668959,No,NA,NA,No,Yes,Ho,NA,NA,NA,NA,No,NA,NA,Ge,TAL,NA,Native,Ne
Camponotus_callmorphus,NA,NA,NA,NA,NA,Yes,1.6094379124341,1.6094379124341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
Pyramica_aethegenys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Pachycondyla_foetida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ge,TC,NA,Native,Neo
Cerapachys_centurio,NA,NA,NA,NA,NA,NA,1.88706964903238,1.90210752639692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Tapinoma_luridum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
Lenomyrmex_inusitatus,NA,NA,NA,Rare,NA,No,1.65441127807683,1.70474809223843,NA,NA,NA,Evasive,SF,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Crematogaster_trautweini,NA,NA,NA,NA,NA,NA,1.38629436111989,1.38629436111989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Pheidole_chocoensis,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Crematogaster_zavattarii,NA,NA,NA,NA,NA,NA,1.38629436111989,1.56861591791385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ge,NA,NA,Native,Af
Dorymyrmex_flavus,Monogynous,NA,Independent,NA,6.90875477931522,No,NA,NA,NA,No,NA,NA,NA,NA,NA,No,NA,NA,Ge,NA,NA,Native,Ne
Pheidole_potosiana,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Polyrhachis_schistacea,NA,NA,NA,NA,NA,No,2.33214389523559,2.68784749378469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
Pyramica_eggersi,NA,NA,NA,NA,3.93182563272433,No,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Ge,NA,Yes,Native,Co
Solenopsis_subterranea,NA,NA,NA,NA,NA,No,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Ge,Ub,No,Native,Co
Myrmica_incompleta,Oligogynous,NA,NA,NA,6.82328612235569,No,1.77495235091167,1.77495235091167,NA,Yes,Pr,NA,NA,NA,NA,NA,NA,NA,Ge,Ub,No,Exotic,Ne
†Anochetus_corayi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,NA
Procryptocerus_carbonarius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Neo
Messor_bouvieri,Monogynous,Monodomous,Independent,NA,8.8538082749772,Yes,1.6094379124341,2.30258509299405,NA,Yes,Gr,NA,MR,Day,NA,NA,NA,NA,Sh,Un,No,Native,Pa
Camponotus_pulvinatus,NA,NA,NA,NA,NA,Yes,2.07944154167984,2.30258509299405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Azteca_brevis,Polygynous,Polydomous,Facultative,NA,NA,Yes,NA,NA,Yes,No,Om,Aggressive,Ge,Day,Yes,No,No,No,RF,TC,No,Native,Neo
Dorylus_congolensis,NA,NA,NA,NA,NA,Yes,1.09861228866811,2.60268968544438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Pseudomyrmex_simplex,Oligogynous,NA,Independent,NA,NA,No,NA,NA,NA,Yes,NA,NA,NA,NA,No,No,NA,NA,RF,Ub,No,Native,Neo
Dorylus_katanensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Pyramica_fridericimuelleri,NA,NA,NA,Rare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,LF,NA,Native,Neo
Lasius_humilis,NA,NA,NA,Rare,NA,No,0.916290731874155,0.993251773010283,NA,No,NA,NA,NA,NA,NA,Yes,NA,NA,TF,NA,NA,Native,Ne
Mycocepurus_curvispinosus,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,FG,NA,NA,NA,Yes,NA,NA,NA,TDF,NA,NA,Native,Neo
Crematogaster_nigropilosa,Oligogynous,Monodomous,Facultative,NA,NA,No,NA,NA,NA,Yes,NA,Aggressive,NA,DayAndNight,No,No,No,No,RF,Ub,No,Native,Neo
Crematogaster_chopardi,NA,NA,NA,NA,NA,NA,1.52605630349505,1.70474809223843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Pheidole_caltrop,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,TAL,NA,Native,Neo
Azteca_nigra,Oligogynous,Polydomous,Facultative,NA,NA,Yes,NA,NA,Yes,No,Om,Aggressive,Ge,Day,Yes,No,No,No,RF,TC,NA,Native,Neo
Cyphomyrmex_major,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Camponotus_quercicola,NA,NA,NA,NA,NA,Yes,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,Ge,NA,NA,Native,Ne
Strumigenys_longispinosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pr,NA,NA,NA,NA,NA,NA,NA,RF,Un,NA,Native,Neo
Tapinoma_arnoldi,NA,NA,NA,NA,NA,NA,0.955511445027436,0.993251773010283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ge,TC,NA,Native,Af
Pyramica_pergandei,Oligogynous,NA,Independent,NA,5.32300997913841,No,NA,NA,NA,Yes,NA,NA,NA,NA,NA,No,NA,NA,Ge,NA,NA,Native,Ne
Crematogaster_neuvillei,NA,NA,NA,NA,NA,NA,1.58923520511658,1.79175946922805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Anochetus_exstinctus†,NA,NA,NA,NA,NA,NA,2.07944154167984,2.13771044980381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Neo
Stenamma_brevicorne,Monogynous,Monodomous,Independent,NA,4.65396035015752,No,NA,NA,NA,Yes,NA,NA,NA,NA,NA,No,NA,NA,NA,Un,No,Native,Ne
Pheidole_dentigula,Monogynous,NA,Independent,NA,5.26785815906333,Yes,NA,NA,Yes,Yes,NA,NA,NA,NA,No,No,No,No,Ge,Ub,No,Native,Ne
Lepisiota_depressa,NA,NA,NA,NA,NA,NA,1.16315080980568,1.19392246847243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Co,NA,NA,Native,Af
Crematogaster_microspina,NA,NA,NA,NA,NA,NA,1.56861591791385,1.6094379124341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Pheidole_carinata,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Plagiolepis_jouberti,NA,NA,NA,NA,NA,Yes,0.993251773010283,1.6094379124341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Oecophylla_smaragdina,Monogynous,Polydomous,Independent,NA,4.61512051684126,Yes,1.94591014905531,2.70805020110221,NA,No,Om,Aggressive,Ge,Day,No,No,No,No,Ge,TC,No,Exotic,Co
Crematogaster_crucis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ge,NA,NA,Native,Neo
Temnothorax_affinis,Monogynous,NA,Independent,NA,NA,No,1.09861228866811,1.38629436111989,NA,Yes,Om,Evasive,SF,NA,NA,NA,NA,NA,Ge,TAL,NA,Native,Pa
Myrmecina_graminicola,Facultative,NA,NA,NA,5.52545293913178,No,1.09861228866811,1.38629436111989,NA,Yes,Om,NA,NA,NA,NA,NA,NA,NA,Ge,Ub,No,Native,Pa
Pachycondyla_analis,Monogynous,NA,NA,NA,NA,Yes,2.30258509299405,2.77258872223978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TDF,Ub,NA,Native,Af
Technomyrmex_zimmeri,NA,NA,NA,NA,NA,NA,1.48160454092422,1.50407739677627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Gnamptogenys_alfaroi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Camponotus_cruentatus,Monogynous,Monodomous,NA,NA,7.82444593087762,Yes,2.07944154167984,2.56494935746154,NA,No,Om,Aggressive,NA,DayAndNight,NA,NA,NA,NA,TF,Gr,No,Native,Pa
Pyramica_dietrichi,NA,NA,Independent,NA,4.39444915467244,No,1.11514159061932,1.11514159061932,NA,Yes,Pr,NA,NA,NA,NA,No,NA,NA,TF,Ub,NA,Native,Ne
Pachycondyla_insignis,Monogynous,Polydomous,Independent,NA,3.04452243772342,No,2.484906649788,2.484906649788,NA,Yes,Om,Evasive,Ge,NA,Yes,No,No,No,RF,TC,No,Native,Neo
Camponotus_bidens,NA,Monodomous,NA,NA,NA,Yes,NA,NA,NA,No,NA,NA,SF,Day,NA,NA,NA,NA,Ge,TAL,Yes,Native,Neo
Polyrhachis_asomaningi,NA,NA,NA,NA,NA,No,1.85629799036563,1.93152141160321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,TC,NA,Native,Af
Cataglyphis_argentatus,NA,NA,NA,NA,NA,NA,1.79175946922805,1.79175946922805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Pa
Crematogaster_boera,NA,NA,NA,NA,NA,NA,1.33500106673234,1.3609765531356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Strumigenys_sevesta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pr,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Solenopsis_carolinensis,Polygynous,NA,NA,NA,5.30330490805908,No,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Ge,Un,Yes,Native,Ne
Cerapachys_cribrinodis,NA,NA,NA,NA,NA,NA,1.54756250871601,1.6094379124341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sh,NA,NA,Native,Af
Crematogaster_depressa,NA,NA,NA,NA,NA,NA,1.48160454092422,2.11625551480255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
Apterostigma_collare,Oligogynous,Polydomous,Independent,NA,3.43398720448515,No,NA,NA,NA,Yes,FG,NA,FG,NA,Yes,No,No,No,Ge,TC,No,Native,Neo
Myrmica_punctiventris,Oligogynous,Polydomous,Independent,NA,5.20948615284142,No,1.7227665977411,1.7227665977411,No,Yes,Gr,NA,NA,NA,NA,No,No,No,TF,Ub,No,Native,Ne
Messor_excursionis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,De,NA,NA,Native,Pa
Pyramica_epinotalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Ectatomma_edentatum,NA,NA,NA,NA,NA,No,2.484906649788,2.63905732961526,No,Yes,Om,Evasive,NA,NA,No,NA,No,No,Ge,Ub,No,Native,Neo
Cerapachys_occipitalis,NA,NA,NA,NA,NA,NA,1.58923520511658,1.58923520511658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Cataglyphis_diehlii,NA,NA,NA,NA,NA,NA,1.87180217690159,2.35137525716348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Pa
Paratrechina_vividula,Monogynous,NA,Independent,NA,5.12989871492307,No,1.25276296849537,1.25276296849537,NA,No,Om,NA,Ge,NA,No,No,No,No,Ge,TAL,No,Native,Co
Dolichoderus_taschenbergi,Polygynous,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,Yes,NA,NA,TF,NA,NA,Native,Ne
Crematogaster_gambiensis,NA,NA,NA,NA,NA,NA,1.33500106673234,1.70474809223843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ub,NA,Native,Af
Paratrechina_bourbonica,Polygynous,NA,NA,NA,5.30330490805908,No,1.25276296849537,1.43508452528932,NA,No,Om,NA,MR,DayAndNight,Yes,NA,NA,NA,Ge,Un,Yes,Native,Co
Nesomyrmex_asper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,TAL,NA,Native,Neo
Azteca_forelii,Oligogynous,Polydomous,Facultative,NA,NA,Yes,NA,NA,Yes,No,Om,Aggressive,Ge,Day,Yes,No,No,No,Ge,TC,No,Native,Neo
Dorylus_bishyiganus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Amblyopone_pluto,NA,Monodomous,NA,Abundant,3.52636052461616,No,1.72455071953461,1.7509374747078,NA,Yes,Pr,NA,SF,NA,NA,NA,NA,NA,Sh,Ub,NA,Native,Af
Lepisiota_frauenfeldi,NA,NA,NA,NA,NA,NA,1.09861228866811,1.38629436111989,NA,NA,Om,NA,NA,NA,NA,NA,NA,NA,Gr,Gr,NA,Native,Co
Crematogaster_capensis,NA,NA,NA,NA,NA,NA,1.6094379124341,1.70474809223843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Camponotus_tortuganus,NA,NA,Independent,NA,NA,Yes,NA,NA,No,No,NA,NA,NA,NA,NA,No,NA,NA,Co,NA,NA,Native,Neo
Pheidole_fariasana,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Pheidole_cerebrosior,NA,NA,Independent,NA,2.56494935746154,Yes,NA,NA,Yes,Yes,Sc,NA,NA,NA,NA,NA,NA,NA,Ge,Ub,No,Native,Ne
Anochetus_boltoni,NA,NA,NA,NA,NA,NA,1.01884732019925,1.10194007876078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Pheidole_scrobifera,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Night,NA,NA,NA,NA,RF,TAL,NA,Native,Neo
Camponotus_jeanneli,NA,NA,NA,NA,NA,Yes,1.75785791755237,2.2512917986065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Wasmannia_rochai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Exotic,Neo
Neivamyrmex_adnepos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Camponotus_kurdistanicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TF,NA,NA,Native,Pa
Pheidole_flavens,Oligogynous,NA,NA,NA,7.31388683163346,Yes,0.916290731874155,1.16315080980568,Yes,Yes,Om,NA,MR,NA,No,No,No,No,Ge,Ub,No,Exotic,Co
Strumigenys_ludia,NA,NA,NA,NA,NA,No,NA,NA,NA,Yes,NA,NA,NA,NA,No,No,No,No,Ge,NA,No,Native,Neo
Axinidris_tridens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ge,NA,NA,Native,Af
Camponotus_cuneiscapus,NA,NA,NA,NA,NA,Yes,1.87180217690159,2.21920348405499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Gnamptogenys_concinna,NA,NA,NA,NA,NA,No,NA,NA,No,Yes,NA,Aggressive,Ge,NA,NA,NA,NA,NA,RF,TC,No,Native,Neo
Polyrhachis_lestoni,NA,NA,NA,NA,NA,No,1.87180217690159,1.87180217690159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
Temnothorax_niger,Monogynous,NA,NA,NA,NA,No,1.09861228866811,1.38629436111989,NA,Yes,NA,Evasive,NA,NA,NA,NA,NA,NA,Ge,Ub,NA,Native,Pa
Dorylus_buyssoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Anochetus_emarginatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Exotic,Neo
Crematogaster_transiens,NA,NA,NA,NA,NA,Yes,1.43508452528932,1.79175946922805,NA,NA,Ho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Tetramorium_schneideri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tu,NA,NA,Native,Pa
Anochetus_conisquamis†,NA,NA,NA,NA,NA,NA,1.86872051036418,1.86872051036418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,NA
Formica_puberula,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Yes,NA,NA,TF,NA,NA,Native,Ne
Strumigenys_biolleyi,NA,NA,NA,NA,NA,No,NA,NA,NA,Yes,Pr,NA,SF,Night,No,No,No,No,RF,TAL,No,Native,Neo
Pheidole_teneriffana,Polygynous,Polydomous,Dependent,NA,NA,Yes,NA,NA,Yes,Yes,Om,Aggressive,NA,NA,No,No,No,No,Ge,TAL,Yes,Exotic,Co
Cerapachys_similis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Gnamptogenys_strigata,Oligogynous,Monodomous,NA,NA,NA,No,NA,NA,NA,Yes,NA,NA,SF,DayAndNight,NA,NA,NA,NA,RF,Ub,No,Native,Neo
Cerapachys_foreli,NA,NA,NA,NA,NA,NA,1.6094379124341,1.79175946922805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,Ub,NA,Native,Af
Camponotus_arminius,NA,NA,NA,NA,NA,Yes,1.79175946922805,2.30258509299405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gr,NA,NA,Native,Af
