,Gyny,ColonyStructure,ColonyFoundation,ColonyDensity,Workers,WorkerPolymorphism,MinBodySize,MaxBodySize,SterileWorkers,Sting,Diet,Aggressitivity,ForagingBehaviour,ActivityRange,HasSymbioses,Parasitic,SlaveMaking,NestRaids,Habitat,NestingType,DisturbanceSpecialist,InvasivenessStatus,Ecozone
Pyramica_ohioensis,NA,NA,NA,NA,3.49650756146648,No,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,TF,NA,NA,Native,Ne
Crematogaster_abstinens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TDF,NA,NA,Native,Neo
Stenamma_westwoodi,Monogynous,NA,Independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,NA
Pyramica_hyalina,NA,NA,NA,NA,NA,No,NA,NA,NA,Yes,Pr,NA,NA,NA,NA,NA,NA,NA,NA,Ub,NA,Native,Ne
Formica_aserva,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Yes,Yes,NA,Ge,NA,NA,Native,Ne
Oxyepoecus_striatus,NA,NA,NA,Rare,NA,No,0.947789398933526,0.993251773010283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TDF,NA,NA,Native,Neo
Technomyrmex_fulvus,NA,NA,NA,Rare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Crematogaster_limata,Polygynous,Polydomous,Facultative,NA,NA,No,NA,NA,NA,Yes,Om,NA,NA,DayAndNight,Yes,NA,No,No,Ge,Ub,No,Native,Neo
Camponotus_agonius,NA,NA,NA,NA,NA,Yes,1.6094379124341,2.07944154167984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Dorylus_politus,NA,NA,NA,NA,NA,Yes,2.07944154167984,2.07944154167984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,TC,NA,Native,Af
Cataglyphis_mauritanicus,NA,NA,NA,NA,NA,NA,2.30258509299405,2.63905732961526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Formica_transcaucasica,NA,NA,NA,NA,NA,NA,1.43508452528932,1.88706964903238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Pa
Formica_selysi,Monogynous,Monodomous,Facultative,Abundant,NA,No,1.79175946922805,1.79175946922805,No,No,Om,Aggressive,NA,NA,NA,NA,NA,NA,Ge,Un,Yes,Native,Pa
Nesomyrmex_vargasi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,TC,NA,Native,Neo
